Description,4/11/25,5/9/25,6/11/25,7/10/25,8/12/25,9/12/25,10/13/25,10/11/25,12/11/25,1/9/26,2/17/26,3/11/26,,,
Service & Facility,225.3,225.3,225.3,225.3,225.3,225.3,225.3,225.3,225.3,225.3,225.3,225.3,,,
Usage Charge,511.54,495.41,374.77,275.23,229.24,197.84,226.85,408.96,511.34,616.55,747.89,586.49,,,
Capacity Charge,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,1305,,,
Natural Gas Q1,2968.88,,,,,,,,,467.99,6054.38,4747.77,,,
Natural Gas Q2,363.08,3922.87,2967.57,2135.05,,,,,,,,,,,
Natural Gas Q3,,,,41.57,1702.38,1469.16,1654.4,,,,,,,,
Natural Gas Q4,,,,,,,31.22,3136.43,3921.59,4285.14,,,,,
Demand Side Mgmt,115.97,115.06,108.21,102.44,95.89,94.19,95.77,105.69,111.27,119.95,716.79,145.43,,,
Interstate Pipeline,488.21,472.82,357.68,262.68,218.79,188.81,216.52,391.95,490.07,590.91,156.52,562.1,,,
GRSA,416.9,413.2,385.51,362.67,352.11,344.9,351.56,393.36,416.85,441,471.14,434.1,,,
Energy Assistance Chg,0.81,0.81,0.81,0.81,0.81,0.81,0.81,0.83,0.83,0.83,0.83,0.83,,,
Subtotal,6395.69,6950.47,5724.85,4710.75,4129.52,3826.01,4107.43,5967.52,6982.25,8052.67,9677.85,8007.02,,,
Franchise Fee,191.84,208.49,171.72,141.3,123.86,114.76,123.2,179,209.45,241.55,290.31,240.18,,,
Climate Tax,315.27,342.62,282.2,232.2,203.54,188.58,202.45,294.16,344.18,396.96,471.64,300.23,,,
Sales Tax,624.3,678.45,558.8,459.8,403.07,373.42,400.91,582.48,681.56,787.31,959.86,785.87,,,
Total,7527.1,8180.03,6737.51,5544.05,4859.99,4502.77,4833.99,7023.16,8217.44,9478.49,11399.66,9333.3,,,
,,,,,,,,,,,,,,,
Usage Units,,,,,,,,,,,1502.7,1178.4,,,
Capacity Units,,,,,,,,,,,87,87,,,
