Description,04/11/25,05/30/25,06/27/25,07/02/25,07/30/25,09/02/25,10/03/25,10/31/25,12/03/25,01/02/26,01/30/26,03/02/26,03/31/26
Service & Facility,176.14,176.14,88.07,88.07,88.07,176.14,176.14,176.14,176.14,176.14,176.14,176.14,176.14
Secondary General,890.43,837.74,29.47,929.43,"1,390.05","1,294.98","1,288.48",925.05,976.44,"1,024.62","1,009.39","1,012.78",982.39
ECA Q1,"2,138.71",,,,,,,,,,810.70,"4,473.82","4,339.57"
ECA Q2,958.53,"3,282.25",115.47,"3,641.44","4,084.59",,,,,,,,
ECA Q3,,,,,"1,323.24","4,930.95","4,906.20","2,844.57",,,,,
ECA Q4,,,,,,,,728.67,"3,997.33","4,194.60","3,380.91",,
Distribution Demand,"1,815.84","2,059.20",56.16,"2,340.00","3,154.32","3,126.24","3,201.12","2,639.52","2,246.40","2,002.57","1,965.60","2,162.16","1,890.72"
Gen & Transm Demand,"1,767.34","2,004.20",60.69,"2,579.00","5,102.18","5,056.76","5,177.88","3,941.51","2,186.40","1,949.08","1,913.10","2,104.41","1,840.22"
Trans Cost Adj,349.20,396.00,10.80,450.00,606.60,601.20,615.60,507.60,432.00,385.11,410.84,614.46,540.35
Purch Cap Cost Adj,164.90,187.00,5.10,212.50,286.45,283.90,290.70,239.70,204.00,181.86,178.88,198.66,173.72
Trans Elec Plan,104.76,118.80,3.24,135.00,181.98,180.36,184.68,152.28,129.60,115.53,136.69,265.65,232.30
Demand Side Mgmt,419.04,475.20,12.96,540.00,726.24,714.76,731.88,603.48,513.60,457.85,473.07,637.56,557.52
Wildfire Adj,,,,,,,,19.04,84.00,74.88,85.73,154.77,135.34
Grid Mod Adj,,,,,,,,,,,10.31,62.37,54.54
Renew. Energy Std Adj,87.86,95.37,3.81,109.15,169.43,163.65,165.73,127.77,109.46,105.61,105.50,118.65,109.22
Colo Energy Plan Adj,87.86,95.37,3.81,109.15,169.43,163.65,165.73,127.77,109.46,105.61,105.50,118.65,109.22
Clean Energy Plan Rev,31.48,119.21,4.78,136.47,211.80,204.57,207.17,159.71,136.84,132.03,131.92,148.29,136.54
Energy Assistance Chg,1.62,1.62,0.81,0.81,0.81,1.62,1.62,1.62,1.66,1.66,1.66,1.66,1.66
Subtotal,"8,993.71","9,848.10",395.17,"11,271.02","17,495.19","16,898.78","17,112.93","13,194.43","11,303.33","8,037.38","10,895.94","12,250.03","11,279.45"
Franchise Fee,269.76,295.39,11.83,338.11,524.83,506.92,513.34,395.78,339.05,12.17,326.82,367.46,338.34
Climate Tax,443.30,485.43,19.44,555.62,862.47,833.03,843.58,650.40,557.16,20.00,537.08,579.77,422.92
Sales Tax,877.85,961.27,38.50,"1,100.23","1,707.86","1,649.53","1,670.43","1,287.93","1,103.27",39.59,"1,066.95","1,213.34","1,107.03"
Total,"10,584.62","11,590.19",464.94,"13,264.98","20,590.35","19,888.26","20,140.28","15,528.54","13,302.81","3,348.01","12,826.79","14,410.60","13,147.74"
